zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
10016,1927.137,1197.5229318,17.965,New York,NY,40.74618,-73.97759
10024,1936.349,1203.2472686,17.9316666666667,New York,NY,40.786387,-73.97709
10708,1943.906,1207.9431884,18.0116666666667,Bronxville,NY,40.939049,-73.83099
10801,1949.338,1211.3186332,18.1280555555556,New Rochelle,NY,40.915845,-73.78643
11768,1997.376,1241.1694464,18.8052777777778,Northport,NY,40.905647,-73.33114
12513,2022.72,1256.918208,18.6986111111111,Claverack,NY,42.220962,-73.71182
14225,1515.687,941.8479018,14.0341666666667,Buffalo,NY,42.929891,-78.75813
15044,1383.512,859.7143568,12.7263888888889,Gibsonia,PA,40.631011,-79.95766
15208,1408.488,875.2344432,13.0561111111111,Pittsburgh,PA,40.455168,-79.89709
15241,1409.58,875.913012,13.0288888888889,Pittsburgh,PA,40.329619,-80.07364
15857,1505.302,935.3946628,14.2,Saint Marys,PA,41.4376,-78.54272
15926,1524.591,947.3808474,14.1744444444444,Central City,PA,40.097937,-78.81509
16601,1538.57,956.067398,14.5636111111111,Altoona,PA,40.526319,-78.40082
17013,1689.212,1049.6763368,15.57,Carlisle,PA,40.203458,-77.19987
17019,1713.548,1064.7987272,15.8372222222222,Dillsburg,PA,40.093968,-77.02628
19041,1858.878,1155.1067892,17.2127777777778,Haverford,PA,40.012661,-75.3088
20774,1795.145,1115.503103,16.6952777777778,Upper Marlboro,MD,38.892456,-76.80685
20895,1759.37,1093.272518,16.2422222222222,Kensington,MD,39.027259,-77.07745
21146,1798.153,1117.3722742,16.6294444444444,Severna Park,MD,39.079059,-76.55784
21208,1786.659,1110.2299026,16.4469444444444,Pikesville,MD,39.376879,-76.7287
21211,1776.701,1104.0420014,16.5488888888889,Baltimore,MD,39.328957,-76.63361
22101,1767.526,1098.3406564,16.3561111111111,McLean,VA,38.93276,-77.1677
22610,1742.267,1082.6447138,16.4677777777778,Bentonville,VA,38.822506,-78.27368
23832,1957.835,1216.598669,18.1166666666667,Chesterfield,VA,37.405699,-77.5838
23851,2060.132,1280.1660248,19.2286111111111,Franklin,VA,36.668255,-76.93945
24017,1720.442,1069.0826588,16.2380555555556,Roanoke,VA,37.290886,-79.98256
27265,1810.259,1124.8949426,16.8425,High Point,NC,36.017647,-80.00628
27502,1930.508,1199.6176712,18.0822222222222,Apex,NC,35.73663,-78.86462
27519,1930.538,1199.6363132,18.0991666666667,Cary,NC,35.76812,-78.829548
27601,1957.004,1216.0822856,18.2636111111111,Raleigh,NC,35.774451,-78.63274
27612,1943.341,1207.5920974,18.1541666666667,Raleigh,NC,35.847788,-78.70161
28227,1880.644,1168.6321816,17.465,Charlotte,NC,35.192919,-80.66822
28358,2028.308,1260.3905912,19.1908333333333,Lumberton,NC,34.620874,-78.98986
28732,1722.215,1070.184401,15.8333333333333,Fletcher,NC,35.437611,-82.48999
29461,2100.403,1305.1904242,19.3613888888889,Moncks Corner,SC,33.164225,-80.01039
29483,2075.43,1289.672202,18.8497222222222,Summerville,SC,33.034586,-80.18599
29485,2093.457,1300.8741798,19.1583333333333,Summerville,SC,32.983408,-80.17627
29690,1763.876,1096.0725464,16.1294444444444,Travelers Rest,SC,35.018511,-82.43224
30004,1786.726,1110.2715364,16.1972222222222,Alpharetta,GA,34.119177,-84.30292
30024,1832.546,1138.7440844,16.5433333333333,Suwanee,GA,34.052698,-84.07485
30030,1812.332,1126.1831048,16.3072222222222,Decatur,GA,33.771705,-84.29407
30062,1784.407,1108.8305098,15.945,Marietta,GA,33.99605,-84.47464
30075,1784.697,1109.0107158,16.1436111111111,Roswell,GA,34.049789,-84.38539
30141,1780.986,1106.7047004,16.0691666666667,Hiram,GA,33.867574,-84.77103
30215,1851.84,1150.733376,16.7386111111111,Fayetteville,GA,33.40147,-84.46271
30265,1853.221,1151.5915294,16.5680555555556,Newnan,GA,33.400875,-84.71206
30269,1849.358,1149.1910612,16.6577777777778,Peachtree City,GA,33.398992,-84.57062
30306,1805.861,1122.1620254,16.2041666666667,Atlanta,GA,33.786755,-84.35149
30338,1803.392,1120.6277888,16.1222222222222,Atlanta,GA,33.942751,-84.31769
31405,2201.333,1367.9083262,19.6269444444444,Savannah,GA,32.043058,-81.12183
